news_title,news_link,news_text,news_date
,https://www.scmp.com/knowledge,,2025-07-08
,https://www.scmp.com/knowledge,,2025-07-08
,https://www.scmp.com/knowledge,,2025-07-08
,https://www.scmp.com/knowledge,,2025-07-08
,https://www.scmp.com/knowledge,,2025-07-08
Latest News,https://www.scmp.com/knowledge/topics/china-economy/news,Overview,2025-07-08
Latest News,https://www.scmp.com/knowledge/topics/china-economy/news,Overview,2025-07-08
Latest News,https://www.scmp.com/knowledge/topics/china-economy/news,Overview,2025-07-08
,https://www.scmp.com/cdn-cgi/l/email-protection#dce3afa9beb6b9bfa8e18fb4bdaeb9b8fcbaaeb3b1fc8fb3a9a8b4fc9fb4b5b2bdfc91b3aeb2b5b2bbfc8cb3afa8fabdb1ace7beb3b8a5e19fb4b5b2bdfc99bfb3b2b3b1a5f9ec98f9ec9db4a8a8acaff9ef9df9ee9af9ee9aabababf2afbfb1acf2bfb3b1f9ee9ab7b2b3abb0b9b8bbb9f9ee9aa8b3acb5bfaff9ee9abfb4b5b2bdf1b9bfb3b2b3b1a5f9ee9ab2b9abaff9ef9aa9a8b183afb3a9aebfb9f9ef9899b1bdb5b0f9eeeaa9a8b183b1b9b8b5a9b1f9ef98afb4bdaeb983abb5b8bbb9a8f9eeeaa9a8b183bfbdb1acbdb5bbb2f9ef98e9ece4eeede4,China Economy,2025-07-08
,https://www.scmp.com/economy/china-economy/article/3317391/china-speed-bullet-train-connectivity-neighbours,China Economy,2025-07-08
,https://www.scmp.com/economy/china-economy/article/3317391/china-speed-bullet-train-connectivity-neighbours,China Economy,2025-07-08
,https://www.scmp.com/economy/china-economy/article/3317391/china-speed-bullet-train-connectivity-neighbours,China Economy,2025-07-08
China to speed up bullet-train connectivity with neighbours,https://www.scmp.com/economy/china-economy/article/3317391/china-speed-bullet-train-connectivity-neighbours,China Economy,2025-07-08
China to speed up bullet-train connectivity with neighbours,https://www.scmp.com/economy/china-economy/article/3317391/china-speed-bullet-train-connectivity-neighbours,China Economy,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317397/why-trumps-14-nation-tariff-package-puts-china-edge-and-pressures-southeast-asia,,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317397/why-trumps-14-nation-tariff-package-puts-china-edge-and-pressures-southeast-asia,,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317397/why-trumps-14-nation-tariff-package-puts-china-edge-and-pressures-southeast-asia,,2025-07-08
‘Pressure and division’: why Trump’s 14-nation tariff package puts China on edge,https://www.scmp.com/economy/china-economy/article/3317397/why-trumps-14-nation-tariff-package-puts-china-edge-and-pressures-southeast-asia,China Economy,2025-07-08
‘Pressure and division’: why Trump’s 14-nation tariff package puts China on edge,https://www.scmp.com/economy/china-economy/article/3317397/why-trumps-14-nation-tariff-package-puts-china-edge-and-pressures-southeast-asia,China Economy,2025-07-08
Asia Opinion,https://www.scmp.com/opinion/asia-opinion/article/3317197/how-china-japan-and-south-korea-can-be-titans-tech-innovation,,2025-07-08
Asia Opinion,https://www.scmp.com/opinion/asia-opinion/article/3317197/how-china-japan-and-south-korea-can-be-titans-tech-innovation,,2025-07-08
Asia Opinion,https://www.scmp.com/opinion/asia-opinion/article/3317197/how-china-japan-and-south-korea-can-be-titans-tech-innovation,,2025-07-08
Opinion|,https://www.scmp.com/opinion/asia-opinion/article/3317197/how-china-japan-and-south-korea-can-be-titans-tech-innovation,Asia Opinion,2025-07-08
Opinion|,https://www.scmp.com/opinion/asia-opinion/article/3317197/how-china-japan-and-south-korea-can-be-titans-tech-innovation,Asia Opinion,2025-07-08
Why East Asian integration could be the solution to US tariff threats,https://www.scmp.com/opinion/asia-opinion/article/3317197/how-china-japan-and-south-korea-can-be-titans-tech-innovation,Opinion|,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317330/chinas-rare-earth-dominance-faces-global-pushback-beijing-has-strong-hand-analysts,,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317330/chinas-rare-earth-dominance-faces-global-pushback-beijing-has-strong-hand-analysts,,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317330/chinas-rare-earth-dominance-faces-global-pushback-beijing-has-strong-hand-analysts,,2025-07-08
Rare earth dominance: why China still holds the cards despite global pushback,https://www.scmp.com/economy/china-economy/article/3317330/chinas-rare-earth-dominance-faces-global-pushback-beijing-has-strong-hand-analysts,China Economy,2025-07-08
Rare earth dominance: why China still holds the cards despite global pushback,https://www.scmp.com/economy/china-economy/article/3317330/chinas-rare-earth-dominance-faces-global-pushback-beijing-has-strong-hand-analysts,China Economy,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317312/how-can-china-get-consumers-spending-here-are-5-ideas-being-floated-beijing,,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317312/how-can-china-get-consumers-spending-here-are-5-ideas-being-floated-beijing,,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317312/how-can-china-get-consumers-spending-here-are-5-ideas-being-floated-beijing,,2025-07-08
Explainer|,https://www.scmp.com/economy/china-economy/article/3317312/how-can-china-get-consumers-spending-here-are-5-ideas-being-floated-beijing,China Economy,2025-07-08
Explainer|,https://www.scmp.com/economy/china-economy/article/3317312/how-can-china-get-consumers-spending-here-are-5-ideas-being-floated-beijing,China Economy,2025-07-08
How can China boost consumer spending? Here are 5 ideas being floated in Beijing,https://www.scmp.com/economy/china-economy/article/3317312/how-can-china-get-consumers-spending-here-are-5-ideas-being-floated-beijing,Explainer|,2025-07-08
Diplomacy,https://www.scmp.com/news/china/diplomacy/article/3317302/us-drops-among-chinese-study-preferences-singapore-beckons-status-and-culture,,2025-07-08
Diplomacy,https://www.scmp.com/news/china/diplomacy/article/3317302/us-drops-among-chinese-study-preferences-singapore-beckons-status-and-culture,,2025-07-08
Diplomacy,https://www.scmp.com/news/china/diplomacy/article/3317302/us-drops-among-chinese-study-preferences-singapore-beckons-status-and-culture,,2025-07-08
"Status, culture, cost: more Chinese students choosing Singapore as US declines",https://www.scmp.com/news/china/diplomacy/article/3317302/us-drops-among-chinese-study-preferences-singapore-beckons-status-and-culture,Diplomacy,2025-07-08
"Status, culture, cost: more Chinese students choosing Singapore as US declines",https://www.scmp.com/news/china/diplomacy/article/3317302/us-drops-among-chinese-study-preferences-singapore-beckons-status-and-culture,Diplomacy,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317235/chinas-trade-war-strategy-bet-guizhou-long-one-its-poorest-provinces,,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317235/chinas-trade-war-strategy-bet-guizhou-long-one-its-poorest-provinces,,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317235/chinas-trade-war-strategy-bet-guizhou-long-one-its-poorest-provinces,,2025-07-08
‘Historic opportunity’: why China is betting on a poor province in trade war,https://www.scmp.com/economy/china-economy/article/3317235/chinas-trade-war-strategy-bet-guizhou-long-one-its-poorest-provinces,China Economy,2025-07-08
‘Historic opportunity’: why China is betting on a poor province in trade war,https://www.scmp.com/economy/china-economy/article/3317235/chinas-trade-war-strategy-bet-guizhou-long-one-its-poorest-provinces,China Economy,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317241/chinas-visa-free-policy-pays-dividends-overseas-entries-soar-2025,,2025-07-07
China Economy,https://www.scmp.com/economy/china-economy/article/3317241/chinas-visa-free-policy-pays-dividends-overseas-entries-soar-2025,,2025-07-07
China Economy,https://www.scmp.com/economy/china-economy/article/3317241/chinas-visa-free-policy-pays-dividends-overseas-entries-soar-2025,,2025-07-07
China’s visa-free policy pays dividends as overseas entries soar in 2025,https://www.scmp.com/economy/china-economy/article/3317241/chinas-visa-free-policy-pays-dividends-overseas-entries-soar-2025,China Economy,2025-07-07
China’s visa-free policy pays dividends as overseas entries soar in 2025,https://www.scmp.com/economy/china-economy/article/3317241/chinas-visa-free-policy-pays-dividends-overseas-entries-soar-2025,China Economy,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317239/china-urged-take-bolder-steps-tackle-price-wars-deflation-and-weak-demand,,2025-07-07
China Economy,https://www.scmp.com/economy/china-economy/article/3317239/china-urged-take-bolder-steps-tackle-price-wars-deflation-and-weak-demand,,2025-07-07
China Economy,https://www.scmp.com/economy/china-economy/article/3317239/china-urged-take-bolder-steps-tackle-price-wars-deflation-and-weak-demand,,2025-07-07
"China urged to take bolder steps to tackle price wars, deflation and weak demand",https://www.scmp.com/economy/china-economy/article/3317239/china-urged-take-bolder-steps-tackle-price-wars-deflation-and-weak-demand,China Economy,2025-07-07
"China urged to take bolder steps to tackle price wars, deflation and weak demand",https://www.scmp.com/economy/china-economy/article/3317239/china-urged-take-bolder-steps-tackle-price-wars-deflation-and-weak-demand,China Economy,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317198/china-us-jet-engine-deal-boost-c919-production-comacs-eu-market-ambitions-analysts,,2025-07-07
China Economy,https://www.scmp.com/economy/china-economy/article/3317198/china-us-jet-engine-deal-boost-c919-production-comacs-eu-market-ambitions-analysts,,2025-07-07
China Economy,https://www.scmp.com/economy/china-economy/article/3317198/china-us-jet-engine-deal-boost-c919-production-comacs-eu-market-ambitions-analysts,,2025-07-07
How China’s C919 aircraft could win big from revived US jet engine exports,https://www.scmp.com/economy/china-economy/article/3317198/china-us-jet-engine-deal-boost-c919-production-comacs-eu-market-ambitions-analysts,China Economy,2025-07-07
How China’s C919 aircraft could win big from revived US jet engine exports,https://www.scmp.com/economy/china-economy/article/3317198/china-us-jet-engine-deal-boost-c919-production-comacs-eu-market-ambitions-analysts,China Economy,2025-07-08
Global Economy,https://www.scmp.com/economy/global-economy/article/3317184/australias-albanese-address-darwin-port-sale-china-visit,,2025-07-07
Global Economy,https://www.scmp.com/economy/global-economy/article/3317184/australias-albanese-address-darwin-port-sale-china-visit,,2025-07-07
Global Economy,https://www.scmp.com/economy/global-economy/article/3317184/australias-albanese-address-darwin-port-sale-china-visit,,2025-07-07
Australia’s Albanese to address Darwin Port sale on China visit,https://www.scmp.com/economy/global-economy/article/3317184/australias-albanese-address-darwin-port-sale-china-visit,Global Economy,2025-07-07
Australia’s Albanese to address Darwin Port sale on China visit,https://www.scmp.com/economy/global-economy/article/3317184/australias-albanese-address-darwin-port-sale-china-visit,Global Economy,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3316992/why-chinese-investors-can-still-expect-warm-welcome-many-american-cities,,2025-07-06
China Economy,https://www.scmp.com/economy/china-economy/article/3316992/why-chinese-investors-can-still-expect-warm-welcome-many-american-cities,,2025-07-06
China Economy,https://www.scmp.com/economy/china-economy/article/3316992/why-chinese-investors-can-still-expect-warm-welcome-many-american-cities,,2025-07-06
Why Chinese investors can still expect a warm welcome in many US cities,https://www.scmp.com/economy/china-economy/article/3316992/why-chinese-investors-can-still-expect-warm-welcome-many-american-cities,China Economy,2025-07-06
Why Chinese investors can still expect a warm welcome in many US cities,https://www.scmp.com/economy/china-economy/article/3316992/why-chinese-investors-can-still-expect-warm-welcome-many-american-cities,China Economy,2025-07-08
China Opinion,https://www.scmp.com/opinion/china-opinion/article/3316994/will-chinas-bid-boost-domestic-demand-pay,,2025-07-06
China Opinion,https://www.scmp.com/opinion/china-opinion/article/3316994/will-chinas-bid-boost-domestic-demand-pay,,2025-07-06
China Opinion,https://www.scmp.com/opinion/china-opinion/article/3316994/will-chinas-bid-boost-domestic-demand-pay,,2025-07-06
Opinion|,https://www.scmp.com/opinion/china-opinion/article/3316994/will-chinas-bid-boost-domestic-demand-pay,China Opinion,2025-07-06
Opinion|,https://www.scmp.com/opinion/china-opinion/article/3316994/will-chinas-bid-boost-domestic-demand-pay,China Opinion,2025-07-08
Will China’s bid to boost domestic demand pay off?,https://www.scmp.com/opinion/china-opinion/article/3316994/will-chinas-bid-boost-domestic-demand-pay,Opinion|,2025-07-08
China Business,https://www.scmp.com/business/china-business/article/3317135/kfc-pizza-hut-operator-yum-china-embraces-ai-boost-efficiency-profitability,,2025-07-06
China Business,https://www.scmp.com/business/china-business/article/3317135/kfc-pizza-hut-operator-yum-china-embraces-ai-boost-efficiency-profitability,,2025-07-06
China Business,https://www.scmp.com/business/china-business/article/3317135/kfc-pizza-hut-operator-yum-china-embraces-ai-boost-efficiency-profitability,,2025-07-06
"KFC, Pizza Hut operator Yum China adopts AI to spur efficiency, profitability",https://www.scmp.com/business/china-business/article/3317135/kfc-pizza-hut-operator-yum-china-embraces-ai-boost-efficiency-profitability,China Business,2025-07-06
"KFC, Pizza Hut operator Yum China adopts AI to spur efficiency, profitability",https://www.scmp.com/business/china-business/article/3317135/kfc-pizza-hut-operator-yum-china-embraces-ai-boost-efficiency-profitability,China Business,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3316973/how-young-chinese-travellers-are-fuelling-cruise-ship-holiday-boom,,2025-07-07
China Economy,https://www.scmp.com/economy/china-economy/article/3316973/how-young-chinese-travellers-are-fuelling-cruise-ship-holiday-boom,,2025-07-07
China Economy,https://www.scmp.com/economy/china-economy/article/3316973/how-young-chinese-travellers-are-fuelling-cruise-ship-holiday-boom,,2025-07-07
Party at sea: why young Chinese have fallen in love with cruise ship holidays,https://www.scmp.com/economy/china-economy/article/3316973/how-young-chinese-travellers-are-fuelling-cruise-ship-holiday-boom,China Economy,2025-07-07
Party at sea: why young Chinese have fallen in love with cruise ship holidays,https://www.scmp.com/economy/china-economy/article/3316973/how-young-chinese-travellers-are-fuelling-cruise-ship-holiday-boom,China Economy,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3317044/trump-wants-ground-chinas-drones-have-they-flown-too-high-reach,,2025-07-06
China Economy,https://www.scmp.com/economy/china-economy/article/3317044/trump-wants-ground-chinas-drones-have-they-flown-too-high-reach,,2025-07-06
China Economy,https://www.scmp.com/economy/china-economy/article/3317044/trump-wants-ground-chinas-drones-have-they-flown-too-high-reach,,2025-07-06
Trump wants to ground China’s drones – but have they flown too high to reach?,https://www.scmp.com/economy/china-economy/article/3317044/trump-wants-ground-chinas-drones-have-they-flown-too-high-reach,China Economy,2025-07-06
Trump wants to ground China’s drones – but have they flown too high to reach?,https://www.scmp.com/economy/china-economy/article/3317044/trump-wants-ground-chinas-drones-have-they-flown-too-high-reach,China Economy,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3316987/solar-energy-milestone-china-taps-ocean-breakthrough-industry,,2025-07-05
China Economy,https://www.scmp.com/economy/china-economy/article/3316987/solar-energy-milestone-china-taps-ocean-breakthrough-industry,,2025-07-05
China Economy,https://www.scmp.com/economy/china-economy/article/3316987/solar-energy-milestone-china-taps-ocean-breakthrough-industry,,2025-07-05
Solar energy milestone: China taps the ocean in breakthrough for industry,https://www.scmp.com/economy/china-economy/article/3316987/solar-energy-milestone-china-taps-ocean-breakthrough-industry,China Economy,2025-07-05
Solar energy milestone: China taps the ocean in breakthrough for industry,https://www.scmp.com/economy/china-economy/article/3316987/solar-energy-milestone-china-taps-ocean-breakthrough-industry,China Economy,2025-07-08
Global Economy,https://www.scmp.com/economy/global-economy/article/3316971/south-korea-japan-step-us-targets-chinas-shipbuilding-industry-can-they-succeed,,2025-07-05
Global Economy,https://www.scmp.com/economy/global-economy/article/3316971/south-korea-japan-step-us-targets-chinas-shipbuilding-industry-can-they-succeed,,2025-07-05
Global Economy,https://www.scmp.com/economy/global-economy/article/3316971/south-korea-japan-step-us-targets-chinas-shipbuilding-industry-can-they-succeed,,2025-07-05
"South Korea, Japan step up as US targets China’s shipbuilding – can they succeed?",https://www.scmp.com/economy/global-economy/article/3316971/south-korea-japan-step-us-targets-chinas-shipbuilding-industry-can-they-succeed,Global Economy,2025-07-05
"South Korea, Japan step up as US targets China’s shipbuilding – can they succeed?",https://www.scmp.com/economy/global-economy/article/3316971/south-korea-japan-step-us-targets-chinas-shipbuilding-industry-can-they-succeed,Global Economy,2025-07-08
China Opinion,https://www.scmp.com/opinion/china-opinion/article/3316815/chinese-companies-must-now-focus-wooing-consumers-home,,2025-07-05
China Opinion,https://www.scmp.com/opinion/china-opinion/article/3316815/chinese-companies-must-now-focus-wooing-consumers-home,,2025-07-05
China Opinion,https://www.scmp.com/opinion/china-opinion/article/3316815/chinese-companies-must-now-focus-wooing-consumers-home,,2025-07-05
Opinion|,https://www.scmp.com/opinion/china-opinion/article/3316815/chinese-companies-must-now-focus-wooing-consumers-home,China Opinion,2025-07-05
Opinion|,https://www.scmp.com/opinion/china-opinion/article/3316815/chinese-companies-must-now-focus-wooing-consumers-home,China Opinion,2025-07-08
Chinese companies must now focus on wooing consumers at home,https://www.scmp.com/opinion/china-opinion/article/3316815/chinese-companies-must-now-focus-wooing-consumers-home,Opinion|,2025-07-08
China Economy,https://www.scmp.com/economy/china-economy/article/3316980/chinas-trade-programme-boosts-sales-foreign-brands-including-apple,,2025-07-04
China Economy,https://www.scmp.com/economy/china-economy/article/3316980/chinas-trade-programme-boosts-sales-foreign-brands-including-apple,,2025-07-04
China Economy,https://www.scmp.com/economy/china-economy/article/3316980/chinas-trade-programme-boosts-sales-foreign-brands-including-apple,,2025-07-04
China’s trade-in programme boosts sales of foreign brands – including Apple,https://www.scmp.com/economy/china-economy/article/3316980/chinas-trade-programme-boosts-sales-foreign-brands-including-apple,China Economy,2025-07-04
China’s trade-in programme boosts sales of foreign brands – including Apple,https://www.scmp.com/economy/china-economy/article/3316980/chinas-trade-programme-boosts-sales-foreign-brands-including-apple,China Economy,2025-07-08
Global Economy,https://www.scmp.com/economy/global-economy/article/3316991/did-trump-get-his-big-beautiful-bill-us-dollars-expense,,2025-07-04
Global Economy,https://www.scmp.com/economy/global-economy/article/3316991/did-trump-get-his-big-beautiful-bill-us-dollars-expense,,2025-07-04
Global Economy,https://www.scmp.com/economy/global-economy/article/3316991/did-trump-get-his-big-beautiful-bill-us-dollars-expense,,2025-07-04
Did Trump get his ‘Big Beautiful Bill’ at the US dollar’s expense?,https://www.scmp.com/economy/global-economy/article/3316991/did-trump-get-his-big-beautiful-bill-us-dollars-expense,Global Economy,2025-07-04
Did Trump get his ‘Big Beautiful Bill’ at the US dollar’s expense?,https://www.scmp.com/economy/global-economy/article/3316991/did-trump-get-his-big-beautiful-bill-us-dollars-expense,Global Economy,2025-07-08
Global Economy,https://www.scmp.com/economy/global-economy/article/3316955/china-eu-eye-warmer-ties-brussels-seeks-protect-its-crown-jewel-manufacturing,,2025-07-04
Global Economy,https://www.scmp.com/economy/global-economy/article/3316955/china-eu-eye-warmer-ties-brussels-seeks-protect-its-crown-jewel-manufacturing,,2025-07-04
Global Economy,https://www.scmp.com/economy/global-economy/article/3316955/china-eu-eye-warmer-ties-brussels-seeks-protect-its-crown-jewel-manufacturing,,2025-07-04
"As China, EU eye warm ties, Brussels aims to protect its manufacturing base",https://www.scmp.com/economy/global-economy/article/3316955/china-eu-eye-warmer-ties-brussels-seeks-protect-its-crown-jewel-manufacturing,Global Economy,2025-07-04
"As China, EU eye warm ties, Brussels aims to protect its manufacturing base",https://www.scmp.com/economy/global-economy/article/3316955/china-eu-eye-warmer-ties-brussels-seeks-protect-its-crown-jewel-manufacturing,Global Economy,2025-07-08
Global Economy,https://www.scmp.com/economy/global-economy/article/3316945/china-levy-anti-dumping-tariffs-european-cognac,,2025-07-04
